names,scores,logfoldchanges,pvals,pvals_adj,cluster
Mrc1,40.504955,3.02316,0.0,0.0,3
Pltp,39.45744,0.987345,0.0,0.0,3
Mafb,37.03102,2.7686343,3.628893503899798e-300,2.904266832803616e-298,3
Cd84,36.526966,1.7350914,4.139857604375313e-292,3.211255698655435e-290,3
Cav1,22.219545,1.4025176,2.2230981059522915e-109,2.96530705032049e-108,16
Adgrf5,15.793482,1.4046712,3.450006250338011e-56,2.2857991477272338e-55,16
Cd36,11.222874,1.0827234,3.148677842045716e-29,1.3240728673556715e-28,16
Bmpr2,1.1064028,1.0746496,0.2685522584920058,0.399186464421195,16
Cxcr2,0.75441414,1.1354837,0.45060057104163387,0.6383725639667368,16
Mmp9,0.3462065,0.95917076,0.7291875329623528,0.9502619646410397,16
Nlrp12,0.21330535,1.3663962,0.8310887988300228,0.9835398550490018,16
Csf3r,0.19317435,1.0016029,0.8468224335056096,0.9835398550490018,16
Slc4a1,0.13158046,1.6895769,0.8953161404353455,0.9835398550490018,16
Gzma,0.1166359,0.67900383,0.9071485871891262,0.9835398550490018,16
Nppa,0.019843755,1.3466694,0.9841680135677311,0.9898069546002918,16
Cyp2g1,0.019228915,1.10453,0.9846584917790366,0.9899597438783455,16
Adad2,0.018218666,1.2502396,0.9854644113749209,0.9902033942845546,16
